hostname,n_planets,avg_pl_rade,avg_pl_bmasse,avg_orbper,sy_dist,st_teff
L 98-59,5,1.3526,1.9439999999999997,9.85726388,10.6194,3415.0
Kepler-32,5,1.844,495.023742,8.21452,323.847,3900.0
55 Cnc,5,8.975,320.74946,1023.87233988,12.5855,5198.0
Kepler-82,5,3.6980000000000004,237.21360000000004,32.3994334,904.326,5428.0
K2-268,5,1.848,4.264,9.681922799999999,327.783,5106.0
K2-384,5,1.4451999999999998,2.708,7.2896816,82.6603,3623.0
Kepler-122,5,2.952,20.852,26.8161858,1027.45,6050.0
Kepler-150,5,2.8979999999999997,9.262,138.28136779999997,891.092,5560.0
HD 40307,5,2.3449999999999998,969.039751368,56.78454000000001,12.9363,4956.0
HD 23472,5,1.315,2.7540000000000004,14.302188179999998,39.0341,4684.0
HD 108236,5,2.2649999999999997,5.918000000000001,14.661254399999999,64.5978,5660.0
Kepler-84,5,2.154,15.086000000000002,19.564019,1023.9,6039.0
Kepler-292,5,2.008,4.878,9.2330176,1056.48,5299.0
Kepler-62,5,1.3639999999999999,19.6,85.1998184,300.874,4925.0
Kepler-154,5,2.41,6.912000000000001,25.949149664000004,915.212,5769.0
Kepler-296,5,1.8059999999999998,3.95,26.80693832,167.0,3740.0
HD 158259,5,2.076456,5.09,6.1574162800000005,27.0498,5801.89
Kepler-306,4,2.1525,5.3675,18.5134995,775.679,4954.0
TOI-1246,4,3.1016708375,9.275,16.69798275,169.422,5213.0
Kepler-286,4,1.4275000000000002,2.6575,10.10000225,1226.85,5580.0
HD 20781,4,2.6149999999999998,7.975,33.467325,35.9715,5256.0
Kepler-68,4,7.109,90.69483167499999,1025.6559448975001,144.166,5847.0
Kepler-223,4,4.0675,6.324999999999999,12.9361225,1859.71,5803.0
K2-266,4,2.41625,8.6894886225,10.662880999999999,77.5586,4285.0
Kepler-221,4,2.5,6.6832025,9.22449225,385.231,5243.0
HD 160691,4,3.23,1250.0989974749998,1227.3847999999998,15.5981,5773.0
Kepler-220,4,1.1725,1.69525,21.804783999999998,171.109,4632.0
Kepler-24,4,2.328,85.3252,10.92818475,1156.81,6028.0
Kepler-299,4,1.9250000000000003,4.5225,15.7883195,1052.24,5617.0
Kepler-265,4,2.3925,6.3775,33.70921,1280.25,5835.0
HD 20794,4,1.9499999999999997,4.5225,225.6535,6.00278,5401.0
Kepler-251,4,2.4099999999999997,6.657500000000001,37.769535250000004,924.625,5526.0
KOI-94,4,5.965,41.775,22.707538749999998,477.052,6182.0
TOI-4010,4,7.1075,190.36499999999998,195.86796225,177.504,4960.0
Kepler-172,4,2.5549999999999997,7.102500000000001,14.76879,828.592,5526.0
K2-133,4,1.669,3.4675,11.3869525,75.1703,3655.0
Kepler-304,4,2.245,5.9425,4.94106823825,434.684,4817.0
Kepler-79,4,4.46,6.725,43.510875,1020.72,6174.0
TOI-1203,4,3.487,14.615,61.831640199999995,64.9943,5737.0
Kepler-282,4,1.9425000000000001,30.020000000000003,23.00306175,1337.61,5656.0
HD 215152,4,,695.0112690075,12.2760275,21.5974,4935.0
Kepler-26,4,2.245,4.7375,19.9769335,335.307,4486.0
Barnard's star,4,0.6984999999999999,0.2725,4.0895,1.82655,3195.0
Kepler-58,4,2.5475,232.90975,17.5880430425,969.252,6100.0
Kepler-289,4,4.9225,45.9025,139.1276,704.438,5990.0
GJ 676 A,4,7.3375,1534.8728345025,3752.9856425,16.0272,3734.0
Kepler-341,4,1.6800000000000002,3.4975,20.836380000000002,1047.03,6012.0
Kepler-256,4,2.1425,5.3125,5.38231425,1026.43,5551.0
Kepler-338,4,2.335,13.6125,22.9524615,552.798,5999.0
